System volume is 4.091675135062e-20 L
Number of I initiators: 1000
Number of A monomers: 48633
Number of B monomers: 145899
Number of potential polymers: 1000
rA*rB = 1.4526116097359
kA = 20.59
kB = 3.492
kAA = 20.59
kAB = 4.829
rA = 4.2638227376268
kBB = 3.492
kBA = 10.25
rB = 0.34068292682927
kA-A = 0.885
kA-B = 1.302
r-A = 0.67972350230415
kB-B = 1.134
kB-A = 0.728
kT = 0.008
I0 = 0.0405833
A0 = 1.9737
B0 = 5.9211
DP = 194.53321932913
rand= 2112815535.00000000000000
volume =0.00000000000000
catalyst:initiator ratio =1.00000000000000
time	I	A	B	PA	PB	conv.
0.00002324337624	0.04054271670000	1.97364704560000	5.92106288670000	0.00000000000000	0.00000000000000	0.00000514054243
0.50001079004426	0.00000000000000	1.46948070970000	5.47675691830000	0.01420415500000	0.02637914500000	0.12014475767483
1.00002906230670	0.00000000000000	1.11356516870000	5.06353775770000	0.01339248900000	0.02719081100000	0.21756831780890
1.50001756601252	0.00000000000000	0.85415671510000	4.69155122990000	0.01201265680000	0.02857064320000	0.29754487693541
2.00002963223101	0.00000000000000	0.65684071050000	4.36522091460000	0.01197207350000	0.02861122650000	0.36387329591018
2.50002720102797	0.00000000000000	0.50976683130000	4.05179608870000	0.00831957650000	0.03226372350000	0.42220303086382
3.00005434002445	0.00000000000000	0.39771634000000	3.77578906540000	0.00795432680000	0.03262897320000	0.47135689757983
3.50002983606673	0.00000000000000	0.31541340760000	3.52133177440000	0.00718324410000	0.03340005590000	0.51401311866428
4.00008333086925	0.00000000000000	0.25019604450000	3.28189030440000	0.00564107870000	0.03494222130000	0.55260317068657
4.50001938948487	0.00000000000000	0.19845233700000	3.06233465140000	0.00523524570000	0.03534805430000	0.58696769683137
5.00017493418660	0.00000000000000	0.16050695150000	2.86104148340000	0.00458591290000	0.03599738710000	0.61727119445644
5.50024239308795	0.00000000000000	0.12828381130000	2.67926888270000	0.00470766280000	0.03587563720000	0.64437727469003
6.00032370301864	0.00000000000000	0.10551658000000	2.51157868710000	0.00353074710000	0.03705255290000	0.66850184031419
6.50003649151517	0.00000000000000	0.08607717930000	2.35513006560000	0.00381483020000	0.03676846980000	0.69078095120597
7.00000794452659	0.00000000000000	0.06955977620000	2.20562118840000	0.00296258090000	0.03762071910000	0.71181091028725
7.50003953520704	0.00000000000000	0.05612670390000	2.07364429680000	0.00280024770000	0.03778305230000	0.73022947381408
8.00009540921355	0.00000000000000	0.04549387930000	1.94856656620000	0.00288141430000	0.03770188570000	0.74741944770012
8.50025964735258	0.00000000000000	0.03729605270000	1.83542032580000	0.00259733120000	0.03798596880000	0.76278966956593
9.00010271555014	0.00000000000000	0.03137089090000	1.72414091720000	0.00170449860000	0.03887880140000	0.77763555610388
9.50000937957968	0.00000000000000	0.02581097880000	1.62629458090000	0.00142041550000	0.03916288450000	0.79073365821561
10.00017533424005	0.00000000000000	0.02130623250000	1.53648373800000	0.00146099880000	0.03912230120000	0.80268027882302
10.50003336975072	0.00000000000000	0.01712615260000	1.45085297500000	0.00174508190000	0.03883821810000	0.81405629922069
11.00002219900471	0.00000000000000	0.01387948860000	1.37057920760000	0.00133924890000	0.03924405110000	0.82463553554171
11.50018716963669	0.00000000000000	0.01193149020000	1.29846268350000	0.00121749900000	0.03936580100000	0.83401702547653
12.00004061513993	0.00000000000000	0.00986174190000	1.23202782140000	0.00105516580000	0.03952813420000	0.84269426109843
12.50013317109543	0.00000000000000	0.00811666000000	1.16871787340000	0.00101458250000	0.03956871750000	0.85093455061378
13.00015967237769	0.00000000000000	0.00693974430000	1.10707184070000	0.00101458250000	0.03956871750000	0.85889211029548
13.50051410642109	0.00000000000000	0.00592516180000	1.05723554830000	0.00093341590000	0.03964988410000	0.86533320996032
14.00011653331148	0.00000000000000	0.00474824610000	1.00723692270000	0.00129866560000	0.03928463440000	0.87181543396459
14.50010578788442	0.00000000000000	0.00385541350000	0.95524971540000	0.00105516580000	0.03952813420000	0.87851356075093
15.00046249914017	0.00000000000000	0.00353074710000	0.91093275180000	0.00081166600000	0.03977163400000	0.88416815742397
15.50061204020292	0.00000000000000	0.00284083100000	0.86913195280000	0.00105516580000	0.03952813420000	0.88955030534822
16.00042424563076	0.00000000000000	0.00251616460000	0.82810223650000	0.00060874950000	0.03997455050000	0.89478851808443
16.50001607850630	0.00000000000000	0.00206974830000	0.79137435000000	0.00085224930000	0.03973105070000	0.89949725495034
17.00010884573152	0.00000000000000	0.00170449860000	0.75744671120000	0.00085224930000	0.03973105070000	0.90384101330372
17.50040896687279	0.00000000000000	0.00150158210000	0.73049940000000	0.00109574910000	0.03948755090000	0.90728003618942
18.00083395025865	0.00000000000000	0.00166391530000	0.70351150550000	0.00109574910000	0.03948755090000	0.91067793473567
18.50014631868762	0.00000000000000	0.00178566520000	0.67749761020000	0.00105516580000	0.03952813420000	0.91395760080604
19.00006711810827	0.00000000000000	0.00174508190000	0.65193013120000	0.00093341590000	0.03964988410000	0.91720128307939
19.50017192859872	0.00000000000000	0.00146099880000	0.62875706690000	0.00113633240000	0.03944696760000	0.92017251660395
20.00022242307227	0.00000000000000	0.00150158210000	0.60728850120000	0.00137983220000	0.03920346780000	0.92288672300701
20.50018171201333	0.00000000000000	0.00170449860000	0.58667218480000	0.00133924890000	0.03924405110000	0.92547241584932
21.00006588937669	0.00000000000000	0.00198858170000	0.56739511730000	0.00121749900000	0.03936580100000	0.92787818970658
21.50004110668225	0.00000000000000	0.00206974830000	0.54819921640000	0.00109574910000	0.03948755090000	0.93029938519113
